filename,MAE,Cosine Distance
0109/James_Caan_0002,0.17286424338817596,0.043
0110/James_Jones_0001,0.24294722080230713,0.032
0111/Jamling_Norgay_0001,0.2903277277946472,0.087
0112/Janica_Kostelic_0001,0.2533740997314453,-0.034
0113/Jeanne_Moreau_0001,0.23867030441761017,0.028
0114/Jeffrey_Archer_0001,0.33332639932632446,0.037
0115/Jennifer_Garner_0001,0.22956214845180511,-0.019
0116/Jennifer_Garner_0004,0.34478747844696045,0.008
0117/Jennifer_Garner_0005,0.2522563934326172,0.003
0118/Jennifer_Garner_0005,0.21846498548984528,0.004
0119/Jennifer_Garner_0007,0.30270713567733765,-0.058
0120/Jennifer_Garner_0008,0.21416163444519043,0.141
0121/Jeremy_Greenstock_0002,0.27296870946884155,-0.021
0122/Jeremy_Greenstock_0003,0.2853119373321533,0.022
0123/Jeremy_Greenstock_0005,0.3400651812553406,0.071
0124/Jeremy_Greenstock_0010,0.22271612286567688,-0.161
0125/Jeremy_Greenstock_0017,0.23017115890979767,-0.077
0126/Jessica_Lange_0001,0.21233582496643066,0.02
0127/Jimmy_Carter_0001,0.2826978266239166,0.025
0128/Jimmy_Carter_0004,0.23884481191635132,0.052
0129/Jimmy_Carter_0005,0.19918356835842133,0.089
0130/Jimmy_Carter_0006,0.18740062415599823,-0.053
0131/Jodie_Foster_0001,0.1963457614183426,0.024
0132/John_Manley_0001,0.23347488045692444,0.048
0133/John_Manley_0002,0.22957606613636017,0.012
0134/John_McCain_0002,0.21956361830234528,0.218
0135/John_McCain_0003,0.30714669823646545,0.14
0136/John_McCain_0006,0.24760156869888306,0.024
0137/John_Snow_0003,0.23928973078727722,-0.048
0138/John_Snow_0004,0.20906993746757507,-0.085
0139/John_Snow_0009,0.20895682275295258,0.044
0140/Johnson_Panjaitan_0001,0.3600185215473175,0.014
0141/Jorge_Castaneda_0001,0.2079298049211502,0.158
0142/Jose_Serra_0001,0.21852900087833405,-0.039
0143/Jose_Serra_0002,0.20511291921138763,0.012
0144/Jose_Serra_0003,0.19088082015514374,-0.081
0145/Jose_Serra_0003,0.1881665587425232,0.074
0146/Jose_Serra_0006,0.2434968501329422,-0.058
0147/Jose_Theodore_0001,0.23160377144813538,0.031
0148/Joseph_Blatter_0001,0.230904683470726,-0.05
0149/Joseph_Ralston_0001,0.2665649354457855,0.064
0150/Juan_Pablo_Montoya_0001,0.24107451736927032,0.009
0151/Juan_Pablo_Montoya_0002,0.2689293324947357,-0.043
0152/Juan_Pablo_Montoya_0004,0.25287505984306335,-0.079
0153/Julianna_Margulies_0001,0.17069317400455475,0.054
0154/Justin_Guarini_0001,0.22022926807403564,0.102
0155/Justin_Guarini_0002,0.2071712166070938,0.082
0156/Justine_Henin_0002,0.20855848491191864,-0.02
0157/Kate_Winslet_0001,0.239467054605484,-0.07
0158/Kate_Winslet_0001,0.28631705045700073,-0.122
0159/Kate_Winslet_0002,0.2615929841995239,0.094
0160/Kate_Winslet_0002,0.23069007694721222,0.061
0161/Kathy_Winters_0001,0.22069202363491058,-0.039
0162/Kelvin_Sampson_0001,0.29833468794822693,0.016
0163/Kevin_Stallings_0001,0.23081791400909424,-0.009
0164/Kim_Jong-Il_0002,0.31212881207466125,0.043
0165/Kristin_Davis_0001,0.17403081059455872,-0.042
0166/Kristin_Davis_0002,0.28320735692977905,0.006
0167/Lance_Armstrong_0001,0.2427443116903305,0.042
0168/Lance_Armstrong_0005,0.24612699449062347,0.046
0169/Lance_Armstrong_0007,0.23672446608543396,0.007
0170/Lance_Armstrong_0010,0.19294023513793945,0.033
0171/Lance_Armstrong_0014,0.27110621333122253,-0.056
0172/Laurent_Jalabert_0001,0.3308439254760742,-0.043
0173/Lindsey_Graham_0001,0.191481351852417,-0.022
0174/Lisa_Gottsegen_0001,0.22783030569553375,-0.182
0175/Lleyton_Hewitt_0001,0.24146109819412231,-0.025
0176/Lleyton_Hewitt_0016,0.2439729869365692,0.146
0177/Lleyton_Hewitt_0018,0.2759706974029541,0.004
0178/Lleyton_Hewitt_0024,0.21116624772548676,-0.075
0179/Luis_Ernesto_Derbez_Bautista_0003,0.25020578503608704,0.102
0180/Mario_Dumont_0001,0.2299651801586151,-0.045
0181/Mark_Wahlberg_0001,0.26620206236839294,0.001
0182/Mark_Wahlberg_0002,0.21458503603935242,-0.036
0183/Mark_Wahlberg_0002,0.24658548831939697,0.038
0184/Marlene_Weingartner_0001,0.31411415338516235,0.031
0185/Martha_Bowen_0001,0.30928465723991394,-0.026
0186/Martin_Cauchon_0001,0.2622308135032654,0.071
0187/Martin_Hoellwarth_0001,0.27761951088905334,-0.114
0188/Martin_Sheen_0001,0.31892573833465576,-0.045
0189/Matthew_Broderick_0001,0.19216009974479675,0.164
0190/Matthew_Broderick_0002,0.25083330273628235,-0.004
0191/Mike_Krzyzewski_0001,0.2283211499452591,0.014
0192/Mikhail_Gorbachev_0001,0.2153313308954239,-0.064
0193/Monica_Bellucci_0001,0.20983916521072388,-0.145
0194/Monica_Bellucci_0002,0.26053735613822937,-0.03
0195/Naomi_Campbell_0001,0.19946348667144775,0.101
0196/Nestor_Kirchner_0003,0.266767293214798,0.068
0197/Nestor_Kirchner_0012,0.2533055543899536,0.015
0198/Nestor_Kirchner_0017,0.21937716007232666,-0.02
0199/Nicolas_Lapentti_0001,0.23408931493759155,-0.016
0200/Noah_Wyle_0002,0.22201485931873322,-0.031
0201/Nora_Bendijo_0001,0.22524012625217438,0.047
0202/Nursultan_Nazarbayev_0001,0.28156188130378723,0.029
0203/Pamela_Anderson_0001,0.18645483255386353,0.033
0204/Pamela_Anderson_0001,0.17660050094127655,0.041
0205/Patricia_Heaton_0001,0.29032739996910095,0.073
0206/Patty_Schnyder_0001,0.28616079688072205,0.082
0207/Patty_Schnyder_0002,0.268089234828949,0.012
0208/Patty_Schnyder_0002,0.2229897826910019,0.082
0209/Patty_Schnyder_0003,0.18281391263008118,0.138
0210/Paul_Bremer_0006,0.2503300905227661,0.152
0211/Paul_Bremer_0007,0.1972622275352478,-0.137
0212/Paul_Bremer_0009,0.22502899169921875,0.013
0213/Paul_Bremer_0014,0.3561905026435852,-0.019
0214/Paul_Sarbanes_0001,0.22923330962657928,0.028
0215/Paul_Sarbanes_0002,0.2750594913959503,0.079
0216/Paul_William_Hurley_0001,0.19134265184402466,0.035
0217/Pervez_Musharraf_0001,0.2921047806739807,0.046
0218/Pervez_Musharraf_0002,0.22059831023216248,0.076
0219/Pervez_Musharraf_0003,0.26018837094306946,0.025
0220/Pervez_Musharraf_0004,0.23980043828487396,-0.003
0221/Pervez_Musharraf_0005,0.269162654876709,-0.063
0222/Pervez_Musharraf_0005,0.39505067467689514,0.022
0223/Phil_Gramm_0001,0.3044928312301636,0.119
0224/Prince_Edward_0001,0.2670522928237915,0.056
0225/Ricardo_Lagos_0003,0.3087005317211151,0.04
0226/Ricardo_Lagos_0023,0.29067549109458923,-0.071
0227/Ricardo_Monasterio_0001,0.24015496671199799,-0.044
0228/Rich_Gannon_0001,0.28099653124809265,0.061
0229/Rick_Perry_0001,0.310693621635437,-0.02
0230/Rick_Perry_0001,0.19303667545318604,-0.082
0231/Rick_Perry_0002,0.23355157673358917,0.043
0232/Rick_Perry_0003,0.23945575952529907,-0.127
0233/Robert_Bonner_0002,0.24149839580059052,0.068
0234/Robert_Evans_0002,0.23731589317321777,-0.005
0235/Robert_Fico_0001,0.2609812617301941,-0.04
0236/Romano_Prodi_0003,0.23569750785827637,0.039
0237/Roy_Moore_0002,0.3067280650138855,0.011
0238/Roy_Moore_0003,0.2301584631204605,0.025
0239/Sachiko_Yamada_0001,0.30991414189338684,-0.023
0240/Sachiko_Yamada_0001,0.29586049914360046,-0.061
0241/Sachiko_Yamada_0002,0.26581671833992004,0.003
0242/Sachiko_Yamada_0002,0.2236892282962799,-0.076
0243/Saeb_Erekat_0001,0.35680633783340454,-0.007
0244/Sam_Bith_0001,0.22963538765907288,-0.045
0245/Sam_Bith_0001,0.20138180255889893,0.083
0246/Sam_Bith_0002,0.20666588842868805,-0.003
0247/Sean_Hayes_0001,0.23582574725151062,0.075
0248/Sergio_Garcia_0001,0.20324628055095673,0.24
0249/Silvia_Farina_Elia_0001,0.22494149208068848,0.093
0250/Steve_Ballmer_0001,0.3233175277709961,-0.07
0251/Steve_Ballmer_0001,0.47475168108940125,0.036
0252/Stockard_Channing_0001,0.2431492656469345,0.007
0253/Stockard_Channing_0002,0.2713050842285156,0.025
0254/Terry_McAuliffe_0001,0.23426823318004608,-0.038
0255/Terry_McAuliffe_0001,0.23517359793186188,0.068
0256/Thomas_Rupprath_0001,0.2146954983472824,0.151
0257/Thomas_Rupprath_0002,0.2412363439798355,-0.062
0258/Tom_Ridge_0006,0.1925324946641922,-0.118
0259/Tom_Ridge_0008,0.2459477335214615,0.08
0260/Tom_Ridge_0009,0.20545001327991486,0.014
0261/Tom_Ridge_0018,0.21721087396144867,0.004
0262/Tommy_Haas_0004,0.20970593392848969,0.127
0263/Tommy_Thompson_0001,0.16946089267730713,-0.054
0264/Tommy_Thompson_0001,0.23333904147148132,-0.004
0265/Tommy_Thompson_0002,0.25870704650878906,0.032
0266/Tommy_Thompson_0004,0.22905829548835754,-0.039
0267/Tommy_Thompson_0006,0.28401973843574524,0.033
0268/Tomoko_Hagiwara_0001,0.29001808166503906,-0.088
0269/Trent_Lott_0001,0.26306167244911194,-0.0
0270/Trent_Lott_0002,0.23454071581363678,-0.001
0271/Trent_Lott_0002,0.31010833382606506,0.045
0272/Trent_Lott_0006,0.2292695790529251,0.076
0273/Trent_Lott_0007,0.2367943972349167,-0.032
0274/Trent_Lott_0008,0.3807324171066284,0.015
0275/Tsutomu_Takebe_0001,0.21762333810329437,-0.001
0276/Tyler_Hamilton_0001,0.264620840549469,0.116
0277/Tyra_Banks_0001,0.2196146845817566,0.096
0278/Vaclav_Havel_0002,0.1965864598751068,0.029
0279/Vaclav_Havel_0002,0.23574745655059814,-0.028
0280/Vaclav_Havel_0002,0.2207622081041336,-0.048
0281/Vaclav_Havel_0004,0.315947026014328,0.013
0282/Vaclav_Havel_0005,0.21009890735149384,0.075
0283/Valerie_Harper_0001,0.20619241893291473,-0.004
0284/Vince_Carter_0003,0.34168264269828796,0.065
0285/Vincent_Brooks_0002,0.24070698022842407,-0.045
0286/Vincent_Brooks_0002,0.19785994291305542,-0.102
0287/Vincent_Brooks_0004,0.24240081012248993,-0.071
0288/Vincent_Brooks_0004,0.2683025300502777,0.028
0289/Vincent_Gallo_0001,0.1908876597881317,0.028
0290/Vitali_Klitschko_0001,0.377716988325119,0.049
0291/Vitali_Klitschko_0003,0.20966196060180664,0.008
