filename,MAE,Cosine Distance
0107/Coco_dEste_0001,0.2232479453086853,0.222
0108/Coco_dEste_0001,0.25304386019706726,-0.111
0109/Coleen_Rowley_0001,0.3513026535511017,-0.134
0110/Corinne_Coman_0002,0.30189546942710876,-0.028
0111/Dale_Earnhardt_Jr_0001,0.18574145436286926,0.015
0112/Dario_Franchitti_0001,0.2297084629535675,-0.018
0113/Darren_Campel_0001,0.276712566614151,0.059
0114/Darvis_Patton_0001,0.29416605830192566,0.037
0115/Darvis_Patton_0001,0.2805508077144623,0.036
0116/Daryl_Parks_0001,0.23056834936141968,0.032
0117/Daryl_Sabara_0001,0.2093515396118164,-0.028
0118/Daryl_Sabara_0001,0.24604320526123047,-0.054
0119/Dave_Johnson_0001,0.24366715550422668,0.064
0120/Dave_Tucker_0001,0.2851475179195404,-0.049
0121/David_Collenette_0001,0.24659854173660278,0.007
0122/David_Westerfield_0001,0.22853446006774902,-0.036
0123/Dean_Jacek_0001,0.2856105864048004,-0.032
0124/Demi_Moore_0002,0.2859368920326233,-0.048
0125/Demi_Moore_0002,0.24595756828784943,0.054
0126/Dereck_Whittenburg_0001,0.29838263988494873,0.108
0127/Dianne_Reeves_0001,0.2688228189945221,-0.033
0128/Dianne_Reeves_0001,0.3224989175796509,-0.022
0129/Don_Carcieri_0001,0.24086201190948486,-0.021
0130/Dora_Bakoyianni_0001,0.22740845382213593,-0.038
0131/Dora_Bakoyianni_0001,0.3100907802581787,0.01
0132/Doris_Roberts_0001,0.20394502580165863,0.015
0133/Doug_Wilson_0001,0.2686629593372345,-0.11
0134/Douglas_Gansler_0001,0.24863047897815704,-0.086
0135/Douglas_Gansler_0001,0.2038579136133194,-0.036
0136/Dwayne_Wade_0001,0.2272593379020691,0.043
0137/Edward_Arsenault_0001,0.22865712642669678,0.016
0138/Einars_Repse_0001,0.32902792096138,0.007
0139/Einars_Repse_0001,0.3658831715583801,-0.132
0140/Elinor_Caplan_0001,0.2363426834344864,0.035
0141/Eliza_Dushku_0001,0.19344063103199005,0.039
0142/Eliza_Dushku_0001,0.23967395722866058,0.043
0143/Emily_Stevens_0001,0.25146323442459106,-0.03
0144/Emmanuelle_Beart_0002,0.24637629091739655,0.087
0145/Eric_Daze_0001,0.205313041806221,-0.081
0146/Erika_Christensen_0002,0.2242511361837387,-0.109
0147/Erika_Christensen_0002,0.16450989246368408,-0.036
0148/Eriko_Tamura_0001,0.2885590195655823,-0.055
0149/Ernie_Grunfeld_0001,0.2269625961780548,-0.002
0150/Eugene_Melnyk_0001,0.2416231334209442,-0.015
0151/Fatma_Kusibeh_0001,0.3085786700248718,-0.06
0152/Federico_Trillo_0001,0.2739177346229553,-0.012
0153/Fernando_Alonso_0001,0.2578155994415283,-0.031
0154/Fernando_Sanz_0001,0.32894647121429443,-0.084
0155/Fernando_Sanz_0001,0.25684601068496704,-0.067
0156/Flor_Montulo_0002,0.27313756942749023,-0.11
0157/Francisco_Garcia_0001,0.27001458406448364,0.01
0158/Francois_Ozon_0001,0.3175545036792755,-0.049
0159/Frank_Coraci_0001,0.2679694592952728,0.02
0160/Frank_Van_Ecke_0001,0.20127491652965546,0.024
0161/Fred_Thompson_0002,0.2909791171550751,-0.05
0162/Fred_Thompson_0002,0.27995797991752625,0.066
0163/Fred_Thompson_0003,0.26365604996681213,0.015
0164/Garry_Trudeau_0001,0.2417847216129303,-0.044
0165/Garry_Witherall_0001,0.23863300681114197,-0.143
0166/Garry_Witherall_0001,0.23074065148830414,-0.098
0167/Garry_Witherall_0001,0.18693500757217407,0.078
0168/Gary_Gero_0001,0.1954205334186554,-0.105
0169/Gary_Gero_0001,0.22367072105407715,0.005
0170/Gavin_Degraw_0001,0.23718495666980743,-0.033
0171/Gene_Robinson_0003,0.19659698009490967,0.088
0172/Georgia_Giddings_0001,0.23337088525295258,-0.043
0173/Geovani_Lapentti_0001,0.2943578064441681,-0.054
0174/Geovani_Lapentti_0001,0.2812695801258087,0.037
0175/Gerard_de_Cortanze_0001,0.19970357418060303,0.032
0176/Gian_Marco_0002,0.24376514554023743,-0.028
0177/Giancarlo_Fisichella_0001,0.2541622221469879,0.056
0178/Gideon_Yago_0001,0.28656089305877686,0.031
0179/Gideon_Yago_0001,0.3197556436061859,0.002
0180/Glenn_Plummer_0001,0.2714027762413025,0.01
0181/Grant_Hackett_0001,0.24233900010585785,-0.05
0182/Grant_Hackett_0003,0.2581080198287964,0.042
0183/Gray_Davis_0026,0.2528235912322998,0.0
0184/Gregg_Popovich_0003,0.3346332311630249,0.015
0185/Gregor_Gysi_0001,0.29243895411491394,0.01
0186/Guy_Ritchie_0002,0.18960952758789062,0.074
0187/Guy_Ritchie_0002,0.24938537180423737,-0.055
0188/Hamid_Efendi_0001,0.2576390206813812,-0.019
0189/Hamzah_Haz_0002,0.1668396294116974,0.052
0190/Harald_Ringstorff_0001,0.23114465177059174,-0.0
0191/Harald_Ringstorff_0001,0.202048197388649,0.147
0192/Heather_Chinnock_0001,0.23177620768547058,-0.083
